PassengerId,Pclass,Sex,SibSp,Parch,Fare,Embarked
2,1,female,1,0,71.2833,C
4,1,female,1,0,53.1,S
7,1,male,0,0,51.8625,S
11,3,female,1,1,16.7,S
12,1,female,0,0,26.55,S
22,2,male,0,0,13.0,S
24,1,male,0,0,35.5,S
28,1,male,3,2,263.0,S
32,1,female,1,0,146.5208,C
53,1,female,1,0,76.7292,C
55,1,male,0,1,61.9792,C
56,1,male,0,0,35.5,S
62,1,female,0,0,80.0,
63,1,male,1,0,83.475,S
67,2,female,0,0,10.5,S
76,3,male,0,0,7.65,S
89,1,female,3,2,263.0,S
93,1,male,1,0,61.175,S
97,1,male,0,0,34.6542,C
98,1,male,0,1,63.3583,C
103,1,male,0,1,77.2875,S
111,1,male,0,0,52.0,S
119,1,male,0,1,247.5208,C
124,2,female,0,0,13.0,S
125,1,male,0,1,77.2875,S
129,3,female,1,1,22.3583,C
137,1,female,0,2,26.2833,S
138,1,male,1,0,53.1,S
140,1,male,0,0,79.2,C
149,2,male,0,2,26.0,S
152,1,female,1,0,66.6,S
167,1,female,0,1,55.0,S
171,1,male,0,0,33.5,S
175,1,male,0,0,30.6958,C
178,1,female,0,0,28.7125,C
184,2,male,2,1,39.0,S
186,1,male,0,0,50.0,S
194,2,male,1,1,26.0,S
195,1,female,0,0,27.7208,C
196,1,female,0,0,146.5208,C
206,3,female,0,1,10.4625,S
210,1,male,0,0,31.0,C
216,1,female,1,0,113.275,C
219,1,female,0,0,76.2917,C
225,1,male,1,0,90.0,S
231,1,female,1,0,83.475,S
246,1,male,2,0,90.0,Q
249,1,male,1,1,52.5542,S
252,3,female,1,1,10.4625,S
253,1,male,0,0,26.55,S
258,1,female,0,0,86.5,S
263,1,male,1,1,79.65,S
264,1,male,0,0,0.0,S
269,1,female,0,1,153.4625,S
270,1,female,0,0,135.6333,S
274,1,male,0,1,29.7,C
276,1,female,1,0,77.9583,S
285,1,male,0,0,26.0,S
292,1,female,1,0,91.0792,C
293,2,male,0,0,12.875,C
298,1,female,1,2,151.55,S
299,1,male,0,0,30.5,S
300,1,female,0,1,247.5208,C
304,2,female,0,0,12.35,Q
306,1,male,1,2,151.55,S
308,1,female,1,0,108.9,C
310,1,female,0,0,56.9292,C
311,1,female,0,0,83.1583,C
312,1,female,2,2,262.375,C
319,1,female,0,2,164.8667,S
320,1,female,1,1,134.5,C
326,1,female,0,0,135.6333,C
328,2,female,0,0,13.0,S
330,1,female,0,1,57.9792,C
332,1,male,0,0,28.5,S
333,1,male,0,1,153.4625,S
337,1,male,1,0,66.6,S
338,1,female,0,0,134.5,C
340,1,male,0,0,35.5,S
341,2,male,1,1,26.0,S
342,1,female,3,2,263.0,S
346,2,female,0,0,13.0,S
352,1,male,0,0,35.0,S
357,1,female,0,1,55.0,S
367,1,female,1,0,75.25,C
370,1,female,0,0,69.3,C
371,1,male,1,0,55.4417,C
378,1,male,0,2,211.5,C
391,1,male,1,2,120.0,S
394,1,female,1,0,113.275,C
395,3,female,0,2,16.7,S
413,1,female,1,0,90.0,Q
430,3,male,0,0,8.05,S
431,1,male,0,0,26.55,S
435,1,male,1,0,55.9,S
436,1,female,1,2,120.0,S
439,1,male,1,4,263.0,S
446,1,male,0,2,81.8583,S
450,1,male,0,0,30.5,S
453,1,male,0,0,27.75,C
454,1,male,1,0,89.1042,C
457,1,male,0,0,26.55,S
458,1,female,1,0,51.8625,S
461,1,male,0,0,26.55,S
463,1,male,0,0,38.5,S
474,2,female,0,0,13.7917,C
476,1,male,0,0,52.0,S
485,1,male,1,0,91.0792,C
487,1,female,1,0,90.0,S
488,1,male,0,0,29.7,C
493,1,male,0,0,30.5,S
497,1,female,1,0,78.2667,C
499,1,female,1,2,151.55,S
505,1,female,0,0,86.5,S
506,1,male,1,0,108.9,C
513,1,male,0,0,26.2875,S
516,1,male,0,0,34.0208,S
517,2,female,0,0,10.5,S
521,1,female,0,0,93.5,S
524,1,female,0,1,57.9792,C
528,1,male,0,0,221.7792,S
537,1,male,0,0,26.55,S
540,1,female,0,2,49.5,C
541,1,female,0,2,71.0,S
545,1,male,1,0,106.425,C
551,1,male,0,2,110.8833,C
557,1,female,1,0,39.6,C
559,1,female,1,1,79.65,S
572,1,female,2,0,51.4792,S
573,1,male,0,0,26.3875,S
578,1,female,1,0,55.9,S
582,1,female,1,1,110.8833,C
584,1,male,0,0,40.125,C
586,1,female,0,2,79.65,S
588,1,male,1,1,79.2,C
592,1,female,1,0,78.2667,C
600,1,male,1,0,56.9292,C
610,1,female,0,0,153.4625,S
619,2,female,2,1,39.0,S
622,1,male,1,0,52.5542,S
626,1,male,0,0,32.3208,S
628,1,female,0,0,77.9583,S
631,1,male,0,0,30.0,S
633,1,male,0,0,30.5,C
642,1,female,0,0,69.3,C
646,1,male,1,0,76.7292,C
648,1,male,0,0,35.5,C
660,1,male,0,2,113.275,C
663,1,male,0,0,25.5875,S
670,1,female,1,0,52.0,S
672,1,male,1,0,52.0,S
680,1,male,0,1,512.3292,C
682,1,male,0,0,76.7292,C
690,1,female,0,1,211.3375,S
691,1,male,1,0,57.0,S
699,1,male,1,1,110.8833,C
700,3,male,0,0,7.65,S
701,1,female,1,0,227.525,C
702,1,male,0,0,26.2875,S
708,1,male,0,0,26.2875,S
711,1,female,0,0,49.5042,C
712,1,male,0,0,26.55,S
713,1,male,1,0,52.0,S
716,3,male,0,0,7.65,S
717,1,female,0,0,227.525,C
718,2,female,0,0,10.5,S
725,1,male,1,0,53.1,S
731,1,female,0,0,211.3375,S
738,1,male,0,0,512.3292,C
741,1,male,0,0,30.0,S
742,1,male,1,0,78.85,S
743,1,female,2,2,262.375,C
746,1,male,1,1,71.0,S
749,1,male,1,0,53.1,S
752,3,male,0,1,12.475,S
760,1,female,0,0,86.5,S
764,1,female,1,2,120.0,S
766,1,female,1,0,77.9583,S
773,2,female,0,0,10.5,S
777,3,male,0,0,7.75,Q
780,1,female,0,1,211.3375,S
782,1,female,1,0,57.0,S
783,1,male,0,0,30.0,S
790,1,male,0,0,79.2,C
797,1,female,0,0,25.9292,S
803,1,male,1,2,120.0,S
807,1,male,0,0,0.0,S
810,1,female,1,0,53.1,S
816,1,male,0,0,0.0,S
821,1,female,1,1,93.5,S
824,3,female,0,1,12.475,S
830,1,female,0,0,80.0,
836,1,female,1,1,83.1583,C
840,1,male,0,0,29.7,C
850,1,female,1,0,89.1042,C
854,1,female,0,1,39.4,S
858,1,male,0,0,26.55,S
863,1,female,0,0,25.9292,S
868,1,male,0,0,50.4958,S
872,1,female,1,1,52.5542,S
873,1,male,0,0,5.0,S
880,1,female,0,1,83.1583,C
888,1,female,0,0,30.0,S
890,1,male,0,0,30.0,C
